ID,event_type,weight,DelEta_jj,DijetMass,LeadingJetPt
318,-999,0.00148391,-999,-999,-999
319,0,0.0024355,-999,-999,-999
320,-999,0.00181664,-999,-999,-999
321,-999,0.00227964,-999,-999,-999
322,-999,0.00205963,-999,-999,-999
323,1,0.00238269,-999,-999,-999
324,-999,0.0026556,-999,-999,-999
325,3,0.00219532,-999,-999,-999
326,-999,0.00179841,-999,-999,-999
327,-999,0.00224943,-999,-999,-999
328,-999,0.00152689,-999,-999,-999
329,-999,0.00220447,-999,-999,-999
330,1,0.00253092,-999,-999,-999
331,-999,0.00319274,-999,-999,-999
332,2,0.00181244,-999,-999,77.9497
333,0,0.00233007,-999,-999,-999
334,2,0.00215155,-999,-999,-999
335,-999,0.00206434,-999,-999,-999
336,-999,0.00241833,-999,-999,-999
337,-999,0.00188187,-999,-999,-999
338,-999,0.0026758,-999,-999,-999
339,-999,0.00175772,-999,-999,-999
340,-999,0.00195184,-999,-999,-999
341,-999,0.00181809,-999,-999,-999
342,-999,0.00256064,-999,-999,-999
343,-999,0.00222113,-999,-999,-999
344,-999,0.00163431,-999,-999,-999
345,-999,0.00271763,-999,-999,-999
346,-999,0.0024502,-999,-999,-999
347,-999,0.00219351,-999,-999,-999
348,-999,0.00218214,-999,-999,-999
349,1,0.00260447,-999,-999,-999
350,0,0.00259989,-999,-999,-999
351,-999,0.00180012,-999,-999,-999
352,-999,0.00122206,-999,-999,-999
353,-999,0.00198278,-999,-999,-999
354,2,0.00175187,3.3635,234.367,45.2591
355,-999,0.00202535,-999,-999,-999
356,3,0.00209899,-999,-999,40.0972
357,2,0.00185304,-999,-999,31.4738
358,-999,0.00191615,-999,-999,-999
359,2,0.00275012,-999,-999,-999
360,-999,0.00191692,-999,-999,-999
361,-999,0.00212943,-999,-999,-999
362,-999,0.00352337,-999,-999,-999
363,-999,0.00246062,-999,-999,-999
364,-999,0.00262461,-999,-999,-999
365,-999,0.00192427,-999,-999,-999
366,1,0.00187931,-999,-999,44.084
367,-999,0.00228311,-999,-999,-999
368,3,0.00189434,-999,-999,-999
369,0,0.00239399,-999,-999,-999
370,-999,0.00195459,-999,-999,-999
371,-999,0.00267786,-999,-999,-999
372,-999,0.00268236,-999,-999,-999
373,3,0.00160248,-999,-999,74.6103
374,2,0.00198228,4.96878,652.635,98.0618
375,2,0.00182673,-999,-999,-999
376,-999,0.00251372,-999,-999,-999
377,-999,0.00231651,-999,-999,-999
378,0,0.00173288,2.01545,222.277,96.1278
379,2,0.00257008,-999,-999,42.6043
380,3,0.00210251,-999,-999,-999
381,-999,0.00231962,-999,-999,-999
382,0,0.00209424,-999,-999,-999
383,-999,0.00184536,-999,-999,-999
384,3,0.00212822,-999,-999,-999
385,-999,0.00224755,-999,-999,-999
386,-999,0.0016077,-999,-999,-999
387,-999,0.00191834,-999,-999,-999
388,3,0.00200094,-999,-999,-999
389,-999,0.00191611,-999,-999,-999
390,1,0.00221859,-999,-999,-999
391,0,0.00292382,-999,-999,-999
392,0,0.00172498,-999,-999,140.927
393,-999,0.002223,-999,-999,-999
394,1,0.00234921,-999,-999,-999
395,0,0.00159877,-999,-999,155.112
396,-999,0.00245952,-999,-999,-999
397,-999,0.00261573,-999,-999,-999
398,1,0.00186439,-999,-999,34.8081
399,-999,0.00176354,-999,-999,-999
400,2,0.00197417,-999,-999,34.3905
401,-999,0.00213313,-999,-999,-999
402,1,0.0026761,-999,-999,-999
403,-999,0.00293894,-999,-999,-999
404,-999,0.00180675,-999,-999,-999
405,0,0.00213694,-999,-999,-999
406,-999,0.00176408,-999,-999,-999
407,0,0.00256207,-999,-999,34.1529
408,2,0.0027737,-999,-999,-999
409,3,0.00264576,-999,-999,-999
410,-999,0.00208521,-999,-999,-999
411,-999,0.00226297,-999,-999,-999
412,0,0.00197442,-999,-999,58.2271
413,-999,0.00225298,-999,-999,-999
414,-999,0.00218472,-999,-999,-999
415,-999,0.00189465,-999,-999,-999
416,1,0.00206263,-999,-999,-999
417,2,0.00275375,-999,-999,-999
418,-999,0.00191632,-999,-999,-999
419,-999,0.00204941,-999,-999,-999
420,1,0.00230384,2.39168,186.403,68.1314
421,3,0.00230973,-999,-999,57.1605
422,-999,0.00202729,-999,-999,-999
423,-999,0.00158563,-999,-999,-999
424,-999,0.00212091,-999,-999,-999
425,3,0.00180573,1.15178,77.0706,86.8856
426,3,0.00253881,-999,-999,-999
427,-999,0.00197112,-999,-999,-999
428,3,0.00205103,-999,-999,-999
429,-999,0.00208345,-999,-999,-999
430,-999,0.00146202,-999,-999,-999
431,-999,0.00248308,-999,-999,-999
432,1,0.00285531,-999,-999,-999
433,-999,0.00169212,-999,-999,-999
434,-999,0.00316259,-999,-999,-999
435,-999,0.00194177,-999,-999,-999
436,3,0.00226008,-999,-999,-999
437,-999,0.00227677,-999,-999,-999
438,0,0.00273585,-999,-999,-999
439,1,0.00281337,-999,-999,37.0872
440,3,0.00205662,-999,-999,-999
441,0,0.00204318,-999,-999,63.4056
442,-999,0.00331614,-999,-999,-999
443,3,0.00297951,-999,-999,-999
444,-999,0.00191614,-999,-999,-999
445,-999,0.00169915,-999,-999,-999
446,-999,0.00282348,-999,-999,-999
447,-999,0.0020241,-999,-999,-999
448,-999,0.00203785,-999,-999,-999
449,-999,0.00219543,-999,-999,-999
450,1,0.00158779,-999,-999,182.986
451,3,0.00311805,-999,-999,31.2803
452,-999,0.00167001,-999,-999,-999
453,-999,0.00163735,-999,-999,-999
454,1,0.00217867,-999,-999,-999
455,0,0.00190087,-999,-999,34.9452
456,-999,0.00185016,-999,-999,-999
457,-999,0.0023446,-999,-999,-999
458,1,0.00215556,-999,-999,52.0917
459,-999,0.00322498,-999,-999,-999
460,-999,0.00265176,-999,-999,-999
461,1,0.00176578,-999,-999,-999
462,0,0.00309092,-999,-999,-999
463,-999,0.00177738,-999,-999,-999
464,-999,0.00204749,-999,-999,-999
465,-999,0.00222534,-999,-999,-999
466,3,0.00147257,0.420517,147.676,183.147
467,0,0.00221708,-999,-999,-999
468,3,0.00156975,-999,-999,100.631
469,-999,0.00299168,-999,-999,-999
470,0,0.00254543,-999,-999,-999
471,-999,0.00190544,-999,-999,-999
472,-999,0.00191687,-999,-999,-999
473,1,0.00195898,0.353173,52.2031,90.865
474,-999,0.00212257,-999,-999,-999
475,-999,0.00226615,-999,-999,-999
476,1,0.00245876,-999,-999,-999
477,-999,0.00230503,-999,-999,-999
478,1,0.00191054,-999,-999,50.8427
479,-999,0.00268677,-999,-999,-999
480,0,0.00188007,0.0645056,39.9588,73.8377
481,0,0.00284992,-999,-999,-999
482,-999,0.00243332,-999,-999,-999
483,-999,0.00142954,-999,-999,-999
484,3,0.00152679,1.38032,190.106,173.198
485,0,0.00225267,-999,-999,-999
486,-999,0.0018747,-999,-999,-999
487,3,0.00159681,2.24473,144.621,46.7725
488,-999,0.00202258,-999,-999,-999
489,-999,0.0038155,-999,-999,-999
490,1,0.00190696,4.52861,420.734,44.7639
491,-999,0.00354021,-999,-999,-999
492,-999,0.00234238,-999,-999,-999
493,2,0.00193689,-999,-999,-999
494,-999,0.00189678,-999,-999,-999
495,-999,0.0018027,-999,-999,-999
496,-999,0.00241835,-999,-999,-999
497,-999,0.00168471,-999,-999,-999
498,-999,0.00312098,-999,-999,-999
