ID,event_type,weight,DelEta_jj,DijetMass,LeadingJetPt
90893,1,0.000171826,1.24633,173.308,87.5194
90894,-999,0.000168327,-999,-999,-999
90895,3,0.000160238,7.30871,2083.09,67.7645
90896,2,0.000156948,4.26932,586.845,85.7011
90897,1,0.000174111,3.11464,392.089,166.587
90898,-999,0.000173916,-999,-999,-999
90899,1,0.000171898,4.61412,539.708,56.4771
90900,-999,0.000159926,-999,-999,-999
90901,0,0.000178333,-999,-999,81.7096
90902,-999,0.000161419,-999,-999,-999
90903,-999,0.000165797,-999,-999,-999
90904,-999,0.000185068,-999,-999,-999
90905,-999,0.000158816,-999,-999,-999
90906,-999,6.0022e-05,-999,-999,-999
90907,0,0.000175281,6.43187,2200.43,92.2312
90908,-999,0.000185084,-999,-999,-999
90909,1,0.000171083,-999,-999,53.2767
90910,-999,0.000168685,-999,-999,-999
90911,1,0.000179696,5.45905,1061.36,83.9677
90912,-999,0.000171908,-999,-999,-999
90913,0,0.000172743,-999,-999,67.5652
90914,3,0.00016329,-999,-999,113.378
90915,-999,0.00018815,-999,-999,-999
90916,1,0.000184693,3.08745,256.386,60.2
90917,-999,0.00016011,-999,-999,-999
90918,-999,0.000160728,-999,-999,-999
90919,-999,0.000157838,-999,-999,-999
90920,-999,0.000190522,-999,-999,-999
90921,-999,0.000176785,-999,-999,-999
90922,0,0.000178621,-999,-999,-999
90923,-999,0.000173121,-999,-999,-999
90924,-999,0.000159501,-999,-999,-999
90925,3,0.000151556,-999,-999,50.2641
90926,-999,0.00015366,-999,-999,-999
90927,2,0.000158681,-999,-999,-999
90928,-999,0.000158943,-999,-999,-999
90929,-999,0.000173674,-999,-999,-999
90930,-999,0.000175604,-999,-999,-999
90931,-999,0.000158259,-999,-999,-999
90932,0,0.000169013,-999,-999,34.395
90933,-999,0.000157953,-999,-999,-999
90934,-999,0.000161798,-999,-999,-999
90935,-999,0.000155487,-999,-999,-999
90936,-999,0.000167281,-999,-999,-999
90937,3,0.000155543,-999,-999,73.2115
90938,0,0.000177094,-999,-999,-999
90939,-999,0.000149114,-999,-999,-999
90940,-999,0.000176853,-999,-999,-999
90941,0,0.000170756,2.12554,287.73,121.545
90942,2,0.000158635,-999,-999,71.6337
90943,-999,0.000171527,-999,-999,-999
90944,2,0.000159224,5.64157,1164.67,94.1378
90945,-999,0.000174624,-999,-999,-999
90946,-999,0.000170009,-999,-999,-999
90947,-999,0.00016037,-999,-999,-999
90948,-999,0.000156367,-999,-999,-999
90949,1,0.000179012,-999,-999,-999
90950,0,0.00017941,-999,-999,74.4077
90951,-999,0.000176127,-999,-999,-999
90952,-999,0.00017933,-999,-999,-999
90953,2,0.000159861,4.88831,371.559,33.9584
90954,-999,0.000178186,-999,-999,-999
90955,3,0.000157281,-999,-999,116.801
90956,-999,0.000174209,-999,-999,-999
90957,0,0.000184668,4.45017,603.642,113.111
90958,0,0.000178167,-999,-999,43.2389
90959,0,0.000173146,-999,-999,35.0645
90960,-999,0.000151474,-999,-999,-999
90961,0,0.000173702,6.45544,1332.73,65.5251
90962,-999,0.000171539,-999,-999,-999
90963,3,0.000158106,6.25287,1240.37,65.6987
90964,-999,0.000185637,-999,-999,-999
90965,-999,0.000155052,-999,-999,-999
90966,0,0.000173769,-999,-999,132.235
90967,0,0.000178273,4.00818,464.526,64.7628
90968,-999,0.000171721,-999,-999,-999
90969,1,0.000172471,-999,-999,85.0189
90970,3,0.000159529,5.84966,687.971,44.797
90971,-999,0.000163321,-999,-999,-999
90972,-999,0.000177258,-999,-999,-999
90973,-999,0.000155441,-999,-999,-999
90974,2,0.000171864,-999,-999,33.0733
90975,-999,0.000157627,-999,-999,-999
90976,-999,0.000164279,-999,-999,-999
90977,0,0.000177105,-999,-999,32.8771
90978,-999,0.000173823,-999,-999,-999
90979,-999,0.000149621,-999,-999,-999
90980,1,0.00018925,-999,-999,84.2034
90981,-999,0.000154618,-999,-999,-999
90982,0,0.000179795,-999,-999,63.0259
90983,3,0.000158288,7.21385,1962.34,89.49
90984,-999,0.000158324,-999,-999,-999
90985,-999,0.000151502,-999,-999,-999
90986,3,0.000158552,1.43431,186.939,212.981
90987,3,0.000160301,4.52428,931.357,115.484
90988,-999,0.000156205,-999,-999,-999
90989,-999,0.000177971,-999,-999,-999
90990,-999,0.000179841,-999,-999,-999
90991,3,0.000161689,-999,-999,47.0538
90992,1,0.000194638,-999,-999,38.9484
90993,2,0.000158894,3.2436,501.609,122.859
90994,-999,0.000158772,-999,-999,-999
90995,1,0.00017451,4.38061,1109.91,290.694
90996,-999,0.000154956,-999,-999,-999
90997,-999,0.000150061,-999,-999,-999
90998,-999,0.000170401,-999,-999,-999
90999,-999,0.000172854,-999,-999,-999
91000,-999,0.000164634,-999,-999,-999
91001,-999,0.000177729,-999,-999,-999
91002,3,0.000168052,2.26207,200.152,74.647
91003,3,0.000163409,1.47388,95.9634,42.0219
91004,-999,0.000159067,-999,-999,-999
91005,1,0.000174929,2.91749,1108.97,261.87
91006,2,0.00015774,6.2452,1502.02,84.801
91007,-999,0.000153453,-999,-999,-999
91008,-999,0.000175104,-999,-999,-999
91009,3,0.000163672,3.25602,343.31,66.1662
91010,1,0.000176386,8.01627,2543.93,55.9257
91011,2,0.000156707,-999,-999,57.1238
91012,-999,0.000166402,-999,-999,-999
91013,0,0.000180288,2.88515,329.538,102.159
91014,1,0.00017981,4.1888,721.491,103.554
91015,0,0.000172108,-999,-999,59.5338
91016,2,0.00015188,0.877688,63.2345,45.9193
91017,-999,0.000151419,-999,-999,-999
91018,-999,0.000158874,-999,-999,-999
91019,-999,0.000159914,-999,-999,-999
91020,-999,0.000175048,-999,-999,-999
91021,-999,0.000174518,-999,-999,-999
91022,1,0.000177867,-999,-999,150.845
91023,-999,0.000154461,-999,-999,-999
91024,2,0.000161151,3.60094,622.783,136.8
91025,-999,0.000153561,-999,-999,-999
91026,0,0.00017743,3.13245,486.621,136.351
91027,2,0.000166939,5.63316,627.526,43.2114
91028,-999,0.000173793,-999,-999,-999
91029,-999,0.000159452,-999,-999,-999
91030,-999,0.000165054,-999,-999,-999
91031,1,0.000182583,4.77838,1044.48,150.302
91032,-999,0.000162247,-999,-999,-999
91033,-999,0.000161046,-999,-999,-999
91034,1,0.000165524,-999,-999,42.4754
91035,1,0.000180598,6.95837,2149.35,71.3744
91036,-999,0.000158732,-999,-999,-999
91037,-999,0.000166221,-999,-999,-999
91038,-999,0.00017746,-999,-999,-999
91039,2,0.000156265,3.959,510.492,73.1211
91040,1,0.000176706,-999,-999,-999
91041,-999,0.000173134,-999,-999,-999
91042,3,0.000163758,8.57241,4455.01,77.5271
91043,-999,0.000160949,-999,-999,-999
91044,2,0.000159143,2.01998,414.64,159.927
91045,3,0.000160544,-999,-999,128.257
91046,-999,0.000143124,-999,-999,-999
91047,0,0.00017746,1.48241,124.372,98.1031
91048,2,0.000153673,-999,-999,39.2209
91049,-999,0.000157088,-999,-999,-999
91050,3,0.000160214,4.65752,582.447,85.4387
91051,-999,0.000156642,-999,-999,-999
91052,2,0.000156022,-999,-999,137.83
91053,-999,0.000174472,-999,-999,-999
91054,-999,0.000155701,-999,-999,-999
91055,-999,0.000173831,-999,-999,-999
91056,-999,0.000181193,-999,-999,-999
91057,-999,0.000174897,-999,-999,-999
91058,-999,0.000163339,-999,-999,-999
91059,-999,0.000170474,-999,-999,-999
91060,-999,0.000175719,-999,-999,-999
91061,-999,0.000175574,-999,-999,-999
91062,-999,0.000170107,-999,-999,-999
91063,-999,7.0273e-05,-999,-999,-999
91064,2,0.00015593,5.9701,1529.13,109.625
91065,-999,0.000168834,-999,-999,-999
91066,1,0.000174248,4.86879,821.702,155.231
91067,2,0.000151342,-999,-999,39.9904
91068,-999,0.000171071,-999,-999,-999
91069,-999,0.00017529,-999,-999,-999
91070,0,0.000173373,-999,-999,-999
91071,-999,0.000166557,-999,-999,-999
91072,-999,0.000159356,-999,-999,-999
91073,-999,0.000173379,-999,-999,-999
91074,-999,0.000156964,-999,-999,-999
91075,1,0.000198149,4.73414,766.699,91.7648
91076,1,0.000175278,-999,-999,40.9674
91077,-999,0.000163997,-999,-999,-999
91078,2,0.000159565,4.7933,1142.69,264.325
91079,-999,0.000177241,-999,-999,-999
91080,2,0.000167629,-999,-999,-999
91081,2,0.000209644,-999,-999,86.2411
91082,-999,0.000177837,-999,-999,-999
91083,-999,0.000157525,-999,-999,-999
91084,-999,0.000158905,-999,-999,-999
91085,1,0.000172295,-999,-999,32.1142
91086,-999,0.000186664,-999,-999,-999
91087,-999,0.000168572,-999,-999,-999
91088,3,0.000147508,2.94244,474.809,120.499
91089,-999,0.000175233,-999,-999,-999
91090,-999,0.000169513,-999,-999,-999
91091,3,0.000162349,-999,-999,-999
91092,-999,0.000157918,-999,-999,-999
91093,2,0.000156502,-999,-999,60.3075
91094,-999,0.000154131,-999,-999,-999
91095,-999,0.000176255,-999,-999,-999
91096,-999,0.000174977,-999,-999,-999
91097,1,0.000174067,3.66712,522.042,154.486
91098,-999,0.000163731,-999,-999,-999
91099,-999,0.000155591,-999,-999,-999
91100,-999,0.000169167,-999,-999,-999
91101,1,0.000177771,3.76819,652.78,266.747
91102,2,0.000168577,6.44237,2967.74,134.676
91103,-999,0.000157869,-999,-999,-999
91104,2,0.000163128,4.47564,434.517,67.8457
91105,0,0.00017286,4.57465,2320.3,239.574
91106,-999,0.000158355,-999,-999,-999
91107,0,0.000176084,4.59819,416.994,46.5512
91108,-999,0.000174343,-999,-999,-999
91109,-999,0.000158095,-999,-999,-999
91110,-999,0.000173392,-999,-999,-999
91111,-999,0.000179188,-999,-999,-999
91112,-999,0.000180087,-999,-999,-999
91113,-999,0.000161783,-999,-999,-999
91114,0,0.000174235,2.7618,289.475,97.3451
91115,0,0.000177253,2.98543,182.439,46.5347
91116,-999,0.000172835,-999,-999,-999
91117,1,0.000177874,3.31523,329.308,79.6717
91118,1,0.000177972,-999,-999,-999
91119,-999,0.000171962,-999,-999,-999
91120,-999,0.000193088,-999,-999,-999
91121,-999,0.00017685,-999,-999,-999
91122,1,0.000173181,2.56881,448.622,141.001
91123,-999,0.000170796,-999,-999,-999
91124,1,0.000166527,-999,-999,40.5999
91125,2,0.000159226,-999,-999,-999
91126,2,0.000157384,-999,-999,212.573
91127,-999,0.000176991,-999,-999,-999
91128,2,0.000166629,-999,-999,31.7097
91129,0,0.000176605,-999,-999,32.7095
91130,-999,0.000178174,-999,-999,-999
91131,2,0.000163719,-999,-999,71.8134
91132,1,0.000177203,4.94647,729.559,77.4398
91133,-999,0.000177103,-999,-999,-999
91134,-999,0.00019649,-999,-999,-999
91135,-999,0.00015428,-999,-999,-999
91136,0,0.00016669,-999,-999,39.2218
91137,-999,0.000163279,-999,-999,-999
91138,0,0.000160295,-999,-999,51.6399
91139,2,0.000163181,4.57408,443.913,54.5596
91140,-999,0.000156864,-999,-999,-999
91141,2,0.000161201,-999,-999,49.3654
91142,-999,0.000161698,-999,-999,-999
91143,0,0.000174609,-999,-999,53.2902
91144,3,0.000157142,2.10483,152.748,52.6048
91145,3,0.000162168,-999,-999,63.0889
91146,-999,0.000173202,-999,-999,-999
91147,3,0.000157746,-999,-999,65.783
91148,-999,0.000165465,-999,-999,-999
91149,3,0.000160494,-999,-999,221.506
91150,-999,0.0001561,-999,-999,-999
91151,-999,0.000162401,-999,-999,-999
91152,-999,0.000176039,-999,-999,-999
91153,0,0.000186798,7.76023,3180.38,67.4022
91154,2,0.000162302,-999,-999,-999
91155,-999,0.000172232,-999,-999,-999
91156,-999,0.000179297,-999,-999,-999
91157,3,0.00017436,4.71451,344.075,33.7456
91158,0,0.000178893,-999,-999,45.742
91159,1,0.000172054,-999,-999,62.9328
91160,-999,0.000169301,-999,-999,-999
91161,0,0.000175602,0.824538,396.598,853.418
91162,2,0.000159229,5.95844,677.659,34.6392
91163,-999,0.000172542,-999,-999,-999
91164,1,0.000171695,6.92316,2575.32,85.0914
91165,-999,0.000183989,-999,-999,-999
91166,-999,0.000158781,-999,-999,-999
91167,3,0.000158602,2.75099,228.901,91.3152
91168,-999,0.000150817,-999,-999,-999
91169,3,0.000158497,6.27148,976.514,59.1834
91170,-999,0.000179049,-999,-999,-999
91171,0,0.000164437,-999,-999,-999
91172,1,0.000181612,-999,-999,88.6541
91173,-999,0.000152649,-999,-999,-999
91174,-999,0.00017786,-999,-999,-999
91175,2,0.000155213,4.62345,385.333,39.4426
91176,-999,0.000170052,-999,-999,-999
91177,-999,0.000160092,-999,-999,-999
91178,-999,0.000154911,-999,-999,-999
91179,3,0.000156957,6.32381,2153.01,158.162
91180,3,0.000158743,4.31156,707.868,132.006
91181,-999,0.000184031,-999,-999,-999
91182,-999,0.000161182,-999,-999,-999
91183,-999,0.000157553,-999,-999,-999
91184,-999,0.00015721,-999,-999,-999
91185,-999,0.00017535,-999,-999,-999
91186,-999,0.000175136,-999,-999,-999
91187,0,0.000176228,2.08479,134.332,52.1984
91188,2,0.000168123,-999,-999,79.8888
91189,0,0.000176448,-999,-999,-999
91190,-999,0.000183493,-999,-999,-999
91191,1,0.000167189,5.26615,925.385,67.2174
91192,3,0.000153209,-999,-999,30.9693
91193,-999,0.000171437,-999,-999,-999
91194,-999,0.000159008,-999,-999,-999
91195,-999,0.000185804,-999,-999,-999
91196,-999,0.000158737,-999,-999,-999
91197,-999,0.000158141,-999,-999,-999
91198,0,0.000178397,5.99368,1425.66,138.819
91199,0,0.000175868,3.01857,457.406,264.712
91200,2,0.0001529,0.323587,102.249,97.5651
91201,1,0.000175275,-999,-999,168.316
91202,2,0.000160093,-999,-999,37.7328
91203,0,0.000178571,-999,-999,70.6356
91204,0,0.00018358,0.0964156,139.112,140.774
91205,2,0.000151756,4.76117,850.977,113.121
91206,-999,0.000158835,-999,-999,-999
91207,-999,0.000159053,-999,-999,-999
91208,-999,0.000159641,-999,-999,-999
91209,-999,0.000175926,-999,-999,-999
91210,-999,0.000174767,-999,-999,-999
91211,-999,0.000161849,-999,-999,-999
91212,-999,0.000173214,-999,-999,-999
91213,-999,0.000172721,-999,-999,-999
91214,-999,0.000149967,-999,-999,-999
91215,-999,0.000151853,-999,-999,-999
91216,-999,0.000174433,-999,-999,-999
91217,-999,0.000154567,-999,-999,-999
91218,-999,0.000179291,-999,-999,-999
91219,-999,0.00014986,-999,-999,-999
91220,2,0.000157762,5.37793,996.918,67.7087
91221,2,0.000162097,0.0983594,80.4581,102.281
91222,-999,0.000151978,-999,-999,-999
91223,-999,0.000176227,-999,-999,-999
91224,-999,0.000157501,-999,-999,-999
91225,-999,0.00015603,-999,-999,-999
91226,0,0.000182902,0.433418,65.331,241.886
